30,1,9,1,1,4,1,2,8,8,16,0,1,0,0,0,4,0,10,11,4,3,2,3,1,3,14,3,15,6
31,7,16,5,3,8,5,2,10,11,60,2,9,1,1,5,41,20,57,41,22,31,57,7,4,7,60,15,38,31
32,14,5,8,16,8,12,11,12,2,95,13,6,0,8,11,75,2,109,74,8,8,48,9,21,11,19,4,49,91
33,11,4,6,17,6,22,15,15,1,2,31,14,23,18,15,3,38,10,1,55,43,2,12,9,10,1,43,1,9
34,8,29,26,9,10,20,5,18,12,30,13,51,6,2,17,16,22,29,18,8,33,16,7,8,18,17,6,20,31
35,22,34,22,17,10,25,27,0,21,0,166,29,0,164,21,0,0,0,0,21,17,0,15,0,18,0,0,0,0
36,15,32,13,11,5,6,5,14,17,62,5,9,2,3,7,42,8,81,34,11,19,30,10,31,14,20,3,44,75
37,8,8,6,4,10,1,0,10,7,105,4,9,3,1,6,58,5,87,21,6,8,87,1,3,5,87,5,58,57
38,7,12,11,7,7,4,7,10,4,109,4,3,1,5,9,19,4,57,82,19,7,62,22,1,13,96,7,79,48
39,5,4,2,6,6,4,3,44,3,0,13,5,0,14,4,0,0,0,0,1,4,0,5,0,4,0,0,0,0
40,10,25,9,13,14,9,12,13,15,0,11,11,0,9,13,0,5,0,0,66,12,0,8,0,13,0,54,0,0
41,0,0,0,1,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1
42,6,6,11,11,6,9,14,10,2,98,6,7,0,5,9,53,7,0,50,12,9,60,10,0,12,51,6,98,41
43,2,4,6,11,4,15,3,1,3,6,3,5,3,2,9,3,9,3,3,5,6,2,9,2,0,2,3,4,6
44,6,7,6,3,4,8,8,5,3,0,221,2,176,291,3,0,187,12,0,16,173,0,10,12,4,0,9,0,12
45,13,24,9,15,15,11,5,13,10,1,525,11,463,244,13,1,488,4,0,22,355,2,17,3,12,2,14,0,4
46,0,3,0,0,1,0,0,2,3,6,0,1,0,0,1,3,0,5,4,1,2,2,0,1,0,1,1,3,3
47,16,6,3,4,4,8,6,7,4,55,8,4,5,4,3,6,23,38,23,22,26,23,9,6,5,54,17,44,38
48,2,5,3,7,6,8,9,2,2,29,9,2,6,3,9,6,10,21,16,18,13,16,1,9,1,14,14,23,21
49,3,5,5,5,3,7,0,3,3,49,25,2,25,31,1,24,29,37,31,9,28,8,1,1,3,31,6,43,20
50,6,8,11,9,11,13,9,8,5,2,383,7,325,283,10,1,326,7,1,17,84,1,10,7,7,2,7,1,8
51,2,3,3,3,1,0,0,4,1,28,1,0,1,1,1,31,6,26,30,6,7,22,4,2,4,10,2,12,39
52,7,19,13,18,6,5,13,5,11,23,15,2,13,6,11,13,24,16,9,38,19,14,5,3,6,14,28,17,11
53,8,32,14,7,8,11,13,4,21,33,5,5,0,1,7,30,3,61,23,23,8,48,16,29,19,22,13,15,50
54,6,11,6,4,5,4,7,0,5,33,0,3,0,0,3,18,0,41,33,2,6,24,1,12,0,26,0,22,26
55,5,12,11,12,4,7,8,3,3,3,277,10,99,99,9,1,104,2,3,24,40,2,7,2,9,4,9,3,3
56,9,7,8,9,7,5,10,5,3,7,31,3,29,24,5,7,40,18,4,31,41,5,17,12,6,2,14,5,17
57,10,4,5,2,4,6,5,7,3,2,40,5,0,131,8,2,4,10,1,12,10,2,5,8,3,1,2,2,9
58,6,12,8,11,9,14,8,18,0,1,312,11,172,292,11,0,180,1,1,23,167,0,14,0,10,1,8,0,0
59,22,5,12,18,19,12,30,13,2,19,33,9,24,25,13,12,65,25,18,21,82,18,21,7,13,14,10,7,20
60,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,3,2,1,0,1,0,2,1,1,1,0,2
61,10,27,16,15,19,11,12,14,12,0,21,11,2,16,26,0,9,91,0,20,22,0,19,91,19,0,12,0,91
62,12,7,9,14,11,14,12,11,2,38,48,17,40,36,9,14,48,62,26,22,44,25,14,39,10,36,7,18,67
